State,F2017,F2018,F2019,F2020,F2021,F2022,Num-2017,Num-2018,Num-2019,Num-2020,Num-2021,Num-2022,Population with no in-state access,population,unplanned_estimate,unplanned_prgs_per_clinic
Connecticut,19,18,18,12,18,19,41825,43957,43686,65529,43686,41387.0,,786348,39033,2054.0
Maine,20,20,18,20,21,21,13773,13755,15276,13749,13094,13094.0,,274974,13649,649.0
Massachusetts,19,19,16,18,19,20,85141,85162,100874,89666,84946,80699.0,,1613974,80116,4005.0
New Hampshire,6,6,6,5,7,7,48381,48184,48183,57820,41300,41300.0,,289100,14350,2050.0
Rhode Island,3,3,3,2,3,3,80659,80493,80251,120377,80251,80251.0,,240753,11950,3983.0
Vermont,6,6,6,6,7,7,22392,22318,22205,22205,19033,19033.0,,133231,6613,944.0
New Jersey,50,45,44,43,43,44,39832,44018,44781,45823,45823,44782.0,,1970389,97808,2222.0
New York,92,93,89,94,89,97,49669,48698,50397,47716,50397,46241.0,,4485333,222647,2295.0
Pennsylvania,17,12,16,17,16,17,164027,231794,173246,163055,173246,163055.0,,2771936,137596,8093.0
Illinois,24,24,29,30,29,32,122599,121559,99837,96509,99837,90477.0,,2895273,143718,4491.0
Indiana,7,7,7,7,7,5,214920,215903,216785,216785,216785,303499.0,,1517495,75326,15065.0
Michigan,23,23,21,22,28,28,95770,95520,104220,99483,78165,78165.0,,2188620,108640,3880.0
Ohio,11,9,10,9,9,9,234446,286244,257095,285661,285661,285661.0,,2570949,127619,14179.0
Wisconsin,3,3,4,4,4,0,420518,420208,314906,314906,314906,,1259624.0,1259624,62526,inf
Iowa,6,6,6,6,7,7,113722,113736,113702,113702,97458,97458.0,,682206,33864,4837.0
Kansas,4,4,4,4,4,5,159933,160263,160156,160156,160156,128125.0,,640624,31799,6359.0
Minnesota,5,5,5,5,9,10,246603,247804,248807,248807,138226,124403.0,,1244034,61752,6175.0
Missouri,1,1,2,1,1,0,1356931,1356955,678931,1357862,1357862,,1357862.0,1357862,67402,inf
Nebraska,3,3,3,3,3,3,140744,141538,142036,142036,142036,142036.0,,426108,21151,7050.0
North Dakota,1,1,1,1,1,0,164310,164866,165556,165556,165556,,165556.0,165556,8218,inf
South Dakota,1,1,1,1,1,0,182883,183559,184364,184364,184364,,184364.0,184364,9151,inf
Delaware,3,3,2,2,3,3,69645,69573,104454,104454,69636,69636.0,,208908,10369,3456.0
District of Columbia,4,4,6,5,5,5,51347,51789,34787,41744,41744,41744.0,,208720,10360,2072.0
Florida,65,63,57,53,55,56,69239,71987,79984,86020,82892,81412.0,,4559060,226307,4041.0
Georgia,17,17,16,14,15,14,147157,148198,158681,181350,169260,181350.0,,2538900,126028,9002.0
Maryland,25,22,21,19,21,24,55597,62917,65640,72550,65640,57435.0,,1378440,68424,2851.0
North Carolina,14,13,14,16,16,16,168875,183326,171254,149847,149847,149847.0,,2397552,119012,7438.0
South Carolina,3,3,3,3,3,3,374492,377334,380350,380350,380350,380350.0,,1141050,56640,18880.0
Virginia,15,15,15,16,17,18,129435,129398,129297,121216,114086,107748.0,,1939462,96273,5348.0
West Virginia,1,1,1,1,1,0,380730,376293,371751,371751,371751,,371751.0,371751,18453,inf
Alabama,5,5,3,3,5,0,221821,221608,368957,368957,221374,,1106870.0,1106870,54943,inf
Kentucky,1,1,1,1,2,0,991091,988756,986520,986520,493260,,986520.0,986520,48969,inf
Mississippi,1,1,1,1,1,0,686239,680107,676441,676441,676441,,676441.0,676441,33577,inf
Tennessee,8,8,8,8,7,0,191566,193121,194283,194283,222038,,1554266.0,1554266,77152,inf
Arkansas,3,3,3,2,2,0,223031,223282,223439,335159,335159,,670318.0,670318,33273,inf
Louisiana,3,3,3,3,3,0,357400,354996,352594,352594,352594,,1057782.0,1057782,52507,inf
Oklahoma,4,3,4,4,3,0,220452,294436,221773,221773,295697,,887091.0,887091,44034,inf
Texas,21,19,23,22,22,0,323547,361578,302130,315863,315863,,6948986.0,6948986,344940,inf
Arizona,8,8,8,8,8,7,195832,198634,201690,201690,201690,230503.0,,1613520,80093,11441.0
Colorado,21,21,19,23,25,25,62508,63547,71121,58752,54052,54052.0,,1351300,67077,2683.0
Idaho,4,4,4,4,4,0,94879,96762,98720,98720,98720,,394880.0,394880,19601,inf
Montana,5,5,6,6,7,7,43972,44347,37214,37214,31898,31898.0,,223286,11083,1583.0
Nevada,8,8,7,9,10,10,84725,86164,99847,77659,69893,69893.0,,698930,34694,3469.0
New Mexico,5,5,5,5,6,10,91227,91169,91212,91212,76010,45606.0,,456060,22638,2263.0
Utah,2,2,2,2,2,2,378477,386483,394241,394241,394241,394241.0,,788482,39139,19569.0
Wyoming,2,2,2,2,1,2,61597,61443,61534,61534,123068,61534.0,,123068,6108,3054.0
Alaska,6,6,6,5,5,5,27404,27138,26917,32300,32300,32300.0,,161500,8016,1603.0
California,151,149,157,163,168,169,61856,62619,59266,57085,55386,55058.0,,9304848,461883,2733.0
Hawaii,3,3,3,3,3,3,100437,99798,99090,99090,99090,99090.0,,297270,14756,4918.0
Oregon,12,12,12,13,14,15,78433,79147,79760,73625,68366,63808.0,,957124,47510,3167.0
Washington,33,31,31,32,30,30,51459,55535,56153,54398,58024,58024.0,,1740720,86407,2880.0
